id,english,spanish,occurrences,element_types,pages
S0012,How Pantogar&reg; vegan capsules works,,5,h1;h3,all-about-hair/index.html;pantogar/pantogar-vegan/convincing-results/index.html;pantogar/pantogar-vegan/how-pantogar-vegan-works/index.html;pantogar/pantogar-vegan/how-to-use-pantogar-vegan/index.html;pantogar/pantogar-vegan/index.html
S0013,General styling tips,,5,h3,hair-care-and-styling/index.html;pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0014,Pantogar&reg; capsules,,5,h1;h3,hair-loss/emotional-effects-of-hair-loss/index.html;pantogar/index.html;pantogar/pantogar-capsules/index.html;pantogar/pantogar-shampoo-tonic/index.html;service/index.html
S0015,Causes of male hair loss,,5,h1;h3,hair-loss/male-hair-loss/causes-of-male-hair-loss/index.html;hair-loss/male-hair-loss/index.html;hair-loss/male-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/types-of-male-hair-loss/index.html;pantogar/pantogar-vegan/index.html
S0016,Hair growth,,4,h1;h3,all-about-hair/growth-phases/index.html;all-about-hair/hair-and-nails/index.html;all-about-hair/nutritional-supply/index.html;all-about-hair/structure-of-healthy-hair/index.html
S0017,Structure of healthy hair,,4,h1;h3,all-about-hair/hair-facts/index.html;all-about-hair/index.html;all-about-hair/nutritional-supply/index.html;all-about-hair/structure-of-healthy-hair/index.html
S0018,Hair loss in women,,4,h1;h3,hair-loss/emotional-effects-of-hair-loss/index.html;hair-loss/female-hair-loss/index.html;hair-loss/index.html;pantogar/pantogar-shampoo-tonic/convincing-results/index.html
S0019,Hair loss in men,,4,h1;h3,hair-loss/emotional-effects-of-hair-loss/index.html;hair-loss/index.html;hair-loss/male-hair-loss/index.html;pantogar/pantogar-shampoo-tonic/convincing-results/index.html
S0020,How to use Pantogar&reg;­,,4,h1;h3,hair-loss/female-hair-loss/causes-of-female-hair-loss/index.html;pantogar/pantogar-capsules/effective-treatment-of-diffuse-hair-loss/index.html;pantogar/pantogar-capsules/how-to-use-pantogar/index.html;pantogar/pantogar-capsules/user-experiences-with-pantogar/index.html
S0021,Types of male hair loss,,4,h1;h3,hair-loss/male-hair-loss/causes-of-male-hair-loss/index.html;hair-loss/male-hair-loss/index.html;hair-loss/male-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/types-of-male-hair-loss/index.html
S0022,How to use Pantogar&reg; vegan capsules,,4,h1;h3,pantogar/pantogar-capsules/how-to-use-pantogar/index.html;pantogar/pantogar-vegan/convincing-results/index.html;pantogar/pantogar-vegan/how-pantogar-vegan-works/index.html;pantogar/pantogar-vegan/how-to-use-pantogar-vegan/index.html
S0023,Slovenia,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0024,Mongolia,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0025,Iraq,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0026,Hong Kong,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0027,Peru,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0028,El Salvador,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0029,Dominican Republic,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0030,Panama,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0031,Mexico,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0032,Guatemala,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0033,South Korea,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0034,China,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0035,Yemen,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0036,United Arab Emirates,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0037,Oman,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0038,Lebanon,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0039,Kyrgyzstan,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0040,Kuwait,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0041,Uzbekistan,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0042,Turkmenistan,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0043,Serbia,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0044,Montenegro,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0045,Malta,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0046,Macedonia,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0047,Lithuania,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0048,Latvia,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0049,Germany,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0050,Georgia,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0051,Estonia,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0052,Croatia,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0053,Belarus,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0054,Costa Rica,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0055,Brazil,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0056,Singapore,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0057,Kingdom of Saudi Arabia,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0058,Kazakhstan,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0059,Jordan,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0060,Egypt,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0061,Ukraine,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0062,Switzerland,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0063,Russia,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0064,Luxembourg,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0065,Cyprus,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0066,Azerbaijan,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0067,Austria,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0068,Armenia,,4,h2,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0069,Products,,4,h3,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0070,Website,,4,h3,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0071,Product,,4,h3,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0072,Disponibilidad - Pantogar,,4,title,pantogar/pantogar-capsules/where-to-get-pantogar/index.html;pantogar/pantogar-shampoo-tonic/where-to-get-pantogar/index.html;pantogar/pantogar-vegan/where-to-get/index.html;service/product-availability/index.html
S0073,Tips for haircare products,,3,h3,hair-care-and-styling/index.html;pantogar/pantogar-shampoo-tonic/for-men/index.html;pantogar/pantogar-shampoo-tonic/pantogar-shampoo-pantogar-tonic-for-women/index.html
S0074,Diffuse hair loss has many triggers – what causes yours?,,3,h1;h3,hair-loss/female-hair-loss/causes-of-female-hair-loss/index.html;hair-loss/female-hair-loss/index.html;pantogar/pantogar-vegan/index.html
S0075,Types of female hair loss,,3,h1;h3,hair-loss/female-hair-loss/index.html;hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/female-hair-loss/types-of-female-hair-loss/index.html
S0076,Resultados convincentes - Pantogar,,3,title,pantogar/pantogar-capsules/convincing-results/index.html;pantogar/pantogar-shampoo-tonic/convincing-results/index.html;pantogar/pantogar-vegan/convincing-results/index.html
S0077,Hair and Nails,,2,h1;h3,all-about-hair/hair-and-nails/index.html;all-about-hair/hair-facts/index.html
S0078,The right advice is the basis for successful treatment,,2,h2,hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/professional-advice/index.html
S0079,How do I treat my hair loss?,,2,h2,hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/professional-advice/index.html
S0080,How your doctor diagnoses hair loss,,2,h2,hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/professional-advice/index.html
S0081,Scalp inspection / hair parting,,2,h2,hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/professional-advice/index.html
S0082,Plucking or epilation test,,2,h2,hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/professional-advice/index.html
S0083,Scouring through the hair,,2,h2,hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/professional-advice/index.html
S0084,Hair rubbing test,,2,h2,hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/professional-advice/index.html
S0085,Blood test,,2,h2,hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/professional-advice/index.html
S0086,TrichoScan,,2,h2,hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/professional-advice/index.html
S0087,Trichogram – light microscopic hair analysis,,2,h2,hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/professional-advice/index.html
S0088,Assessment of the hair,,2,h2,hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/professional-advice/index.html
S0089,Scalp biopsy,,2,h2,hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/male-hair-loss/professional-advice/index.html
S0090,You may also be interested in...,,2,h2,hair-loss/female-hair-loss/professional-advice/index.html;hair-loss/female-hair-loss/types-of-female-hair-loss/index.html
S0091,Diffuse hair loss,,2,h2,hair-loss/female-hair-loss/types-of-female-hair-loss/index.html;hair-loss/male-hair-loss/types-of-male-hair-loss/index.html
S0092,Alopecia areata,,2,h2,hair-loss/female-hair-loss/types-of-female-hair-loss/index.html;hair-loss/male-hair-loss/types-of-male-hair-loss/index.html
S0093,Pantogar®,,2,h1;h2,index.html;pantogar/index.html
S0094,Pantogar&reg; Shampoo & Pantogar&reg; Tonic for women,,2,h3,pantogar/index.html;pantogar/pantogar-shampoo-tonic/index.html
S0095,Pantogar&reg; Anti hair loss shampoo & Pantogar&reg; Anti hair loss tonic for men,,2,h3,pantogar/index.html;pantogar/pantogar-shampoo-tonic/index.html
S0096,How to use,,2,h3,pantogar/pantogar-capsules/index.html;pantogar/pantogar-vegan/index.html
S0097,Pantogar&reg; shampoo &amp; tonic,,2,h1;h3,pantogar/pantogar-capsules/index.html;pantogar/pantogar-shampoo-tonic/index.html
S0098,Pantogar&reg; Anti hair loss shampoo &amp; Pantogar&reg; Anti hair loss tonic for men,,2,h1;h3,pantogar/pantogar-shampoo-tonic/for-men/index.html;pantogar/pantogar-shampoo-tonic/pantogar-shampoo-pantogar-tonic-for-women/index.html
S0099,Pantogar&reg; Shampoo &amp; Pantogar&reg; Tonic for women,,2,h1;h3,pantogar/pantogar-shampoo-tonic/for-men/index.html;pantogar/pantogar-shampoo-tonic/pantogar-shampoo-pantogar-tonic-for-women/index.html
S0100,1. Anagen phase (growth phase),,1,h2,all-about-hair/growth-phases/index.html
S0101,2. Catagen phase (transitional phase),,1,h2,all-about-hair/growth-phases/index.html
S0102,3. Telogen phase (resting phase),,1,h2,all-about-hair/growth-phases/index.html
S0103,Fases de crecimiento - Pantogar,,1,title,all-about-hair/growth-phases/index.html
S0104,Fingernail growth,,1,h2,all-about-hair/hair-and-nails/index.html
S0105,Causes of brittle fingernails,,1,h2,all-about-hair/hair-and-nails/index.html
S0106,Treatment for brittle fingernails: Pantogar&reg; capsules,,1,h2,all-about-hair/hair-and-nails/index.html
S0107,Protect your fingernails!,,1,h2,all-about-hair/hair-and-nails/index.html
S0108,Frequent causes of brittle fingernails,,1,h3,all-about-hair/hair-and-nails/index.html
S0109,Other causes of brittle fingernails,,1,h3,all-about-hair/hair-and-nails/index.html
S0110,Pantogar&reg; capsules contain active ingredients that help in the treatment of brittle fingernails,,1,h3,all-about-hair/hair-and-nails/index.html
S0111,Follow these care tips and make brittle fingernails a thing of the past:,,1,h3,all-about-hair/hair-and-nails/index.html
S0112,Amazing hair,,1,h2,all-about-hair/hair-facts/index.html
S0113,Interesting facts about hair,,1,h3,all-about-hair/hair-facts/index.html
S0114,Did you know that…,,1,h3,all-about-hair/hair-facts/index.html
S0115,Datos sobre el cabello - Pantogar,,1,title,all-about-hair/hair-facts/index.html
S0116,All about hair,,1,h1;h2,all-about-hair/index.html
S0117,Growth phases,,1,h3,all-about-hair/index.html
S0118,Hair and fingernails,,1,h3,all-about-hair/index.html
S0119,Todo sobre el cabello - Pantogar,,1,title,all-about-hair/index.html
S0120,"Crucial for strong, healthy hair",,1,h2,all-about-hair/nutritional-supply/index.html
S0121,Aporte nutricional - Pantogar,,1,title,all-about-hair/nutritional-supply/index.html
S0122,Estructura del cabello sano - Pantogar,,1,title,all-about-hair/structure-of-healthy-hair/index.html
S0123,FAQs about Pantogar&reg; capsules,,1,h1,faq/index.html
S0124,Preguntas frecuentes sobre Pantogar® - Pantogar,,1,title,faq/index.html
S0125,Styling and haircare for hair problems,,1,h1,hair-care-and-styling/index.html
S0126,Beautiful hair in summer,,1,h3,hair-care-and-styling/index.html
S0127,Beautiful hair in winter,,1,h3,hair-care-and-styling/index.html
S0128,Remedies for dull hair,,1,h3,hair-care-and-styling/index.html
S0129,What to do if you suffer from hair breakage and split ends?,,1,h3,hair-care-and-styling/index.html
S0130,Haircare and styling for thin hair,,1,h3,hair-care-and-styling/index.html
S0131,Hairstyling ideas,,1,h3,hair-care-and-styling/index.html
S0132,Hair loss affects the mind,,1,h2,hair-loss/emotional-effects-of-hair-loss/index.html
S0133,Take action!,,1,h2,hair-loss/emotional-effects-of-hair-loss/index.html
S0134,More about female hair loss...,,1,h2,hair-loss/female-hair-loss/index.html
S0135,Microsopic Examinations,,1,h2,hair-loss/female-hair-loss/professional-advice/index.html
S0136,Hereditary hair loss in women,,1,h2,hair-loss/female-hair-loss/types-of-female-hair-loss/index.html
S0137,Treatment,,1,h3,hair-loss/female-hair-loss/types-of-female-hair-loss/index.html
S0138,Hair loss,,1,h1,hair-loss/index.html
S0139,More about hair loss...,,1,h2,hair-loss/index.html
S0140,Hair loss due to hair structure damage,,1,h2,hair-loss/male-hair-loss/causes-of-male-hair-loss/index.html
S0141,Hair loss due to stress,,1,h2,hair-loss/male-hair-loss/causes-of-male-hair-loss/index.html
S0142,Hair loss and the thyroid,,1,h2,hair-loss/male-hair-loss/causes-of-male-hair-loss/index.html
S0143,Therapies:,,1,h3,hair-loss/male-hair-loss/causes-of-male-hair-loss/index.html
S0144,More about male hair loss...,,1,h2,hair-loss/male-hair-loss/index.html
