S0023	Slovenia	Eslovenia
S0111	Follow these care tips and make brittle fingernails a thing of the past:	Siga estos consejos de cuidado y deje atrás las uñas quebradizas:
S0115	Hair facts - Pantogar	Datos sobre el cabello - Pantogar
S0119	All about hair - Pantogar	Todo sobre el cabello - Pantogar
S0121	Nutritional supply - Pantogar	Aporte nutricional - Pantogar
S0122	Structure of healthy hair - Pantogar	Estructura del cabello sano - Pantogar
S0124	FAQs about Pantogar® - Pantogar	Preguntas frecuentes sobre Pantogar® - Pantogar
S0134	More about female hair loss...	Más información sobre la caída del cabello en mujeres...
S0135	Microsopic Examinations	Exámenes microscópicos
S0139	More about hair loss...	Más información sobre la caída del cabello...
S0144	More about male hair loss...	Más información sobre la caída del cabello en hombres...
S0145	Microscopic examinations	Exámenes microscópicos
S0147	Imprint	Aviso legal
S0148	Contents:	Contenido:
S0149	Imprint - Pantogar	Aviso legal - Pantogar
S0150	Special nutrients for your hair	Nutrientes especiales para tu cabello
S0151	Startseite - Pantogar	Inicio - Pantogar
S0152	Pantogar® - Pantogar	Pantogar® - Pantogar
S0155	The studies incorporated into this meta-analysis include the following	Los estudios incorporados en este metaanálisis incluyen los siguientes
S0164	Patient experiences - Pantogar	Experiencias de pacientes - Pantogar
S0165	Pantogar® Shampoo for healthy hair growth for women: high customer satisfaction	Pantogar® Shampoo para el crecimiento saludable del cabello en mujeres: alta satisfacción de las usuarias
S0166	Pantogar® Tonic for hair growth activation for women: For denser hair in just three months	Pantogar® Tonic para la activación del crecimiento capilar en mujeres: cabello más denso en solo tres meses
S0167	Pantogar® Anti hair loss shampoo for men: High customer satisfaction	Pantogar® Shampoo anticaída para hombres: alta satisfacción de los usuarios
S0168	Pantogar® Anti hair loss tonic for men: Reducing hair loss	Pantogar® Tonic anticaída para hombres: reducción de la caída del cabello
S0170	Active ingredients Pantogar® Anti hair loss shampoo and Pantogar® Anti hair loss tonic for men	Ingredientes activos de Pantogar® Shampoo anticaída y Pantogar® Tonic anticaída para hombres
S0171	Pantogar® Anti hair loss shampoo for men	Pantogar® Shampoo anticaída para hombres
S0172	Pantogar® Anti hair loss tonic for men	Pantogar® Tonic anticaída para hombres
S0174	Active ingredients Pantogar® Shampoo for women	Ingredientes activos de Pantogar® Shampoo para mujeres
S0175	Active ingredients Pantogar® Tonic for women	Ingredientes activos de Pantogar® Tonic para mujeres
S0176	Pantogar® Shampoo for women for healthy hair growth	Pantogar® Shampoo para mujeres para un crecimiento saludable del cabello
S0177	Pantogar® Tonic for women for hair growth activation	Pantogar® Tonic para mujeres para la activación del crecimiento capilar
S0179	The ingredients of Pantogar® vegan capsules:	Los ingredientes de las cápsulas veganas Pantogar®:
S0182	II. Adverse event reports from customers	II. Reportes de eventos adversos de clientes
S0183	C. PROCESSING WHEN DIRECT CONTACT IS MADE WITH MERZ (E.G. USING CONTACT FORM OR BY E-MAIL)	C. TRATAMIENTO CUANDO SE REALIZA CONTACTO DIRECTO CON MERZ (P. EJ., MEDIANTE FORMULARIO DE CONTACTO O CORREO ELECTRÓNICO)
S0184	D. DISCLOSURE OF PERSONAL DATA TO (OTHER) THIRD PARTIES	D. DIVULGACIÓN DE DATOS PERSONALES A (OTROS) TERCEROS
S0185	E. DURATION OF THE RETENTION OF YOUR DATA	E. DURACIÓN DE LA CONSERVACIÓN DE SUS DATOS
S0186	F. RIGHTS IN RELATION TO PROCESSING	F. DERECHOS EN RELACIÓN CON EL TRATAMIENTO
S0187	G. CONTACT INFORMATION	G. INFORMACIÓN DE CONTACTO
S0188	A. CONTROLLER FOR THE PROCESSING OF YOUR PERSONAL DATA	A. RESPONSABLE DEL TRATAMIENTO DE SUS DATOS PERSONALES
S0189	B. DATA PROCESSING IN DIFFERENT PROCESSING CONSTELLATIONS	B. TRATAMIENTO DE DATOS EN DIFERENTES CONTEXTOS DE TRATAMIENTO
S0190	I. Visitors to our websites	I. Visitantes de nuestros sitios web
S0193	Service - Pantogar	Servicio - Pantogar
